run_date,product_code,product_name,category_id,flag_type,flag_description,severity,gtin_type,gtin_valid,gtin_normalized,off_found,off_name,off_name_similarity,kassal_found,kassal_name,kassal_name_similarity,kassal_stores,kassal_price,kassal_store_url,discontinued,phash_distance_off,phash_distance_kassal,blur_score,annotation_count,corrected_count,annotation_ids_sample,image_ids_sample,notes
2026-03-21,7041110121738,,300,empty_product_name,Product name is empty in dataset — EAN present but name missing,5,EAN-13,True,7041110121738,True,Dent Trio 24g,,True,Dent Trio 24g,,Joker|SPAR|Coop|Meny|Oda|Bunnpris|Europris|Havaristen,8,https://meny.no/Varer/snacks-godteri/pastiller/dent-trio-7041110121738,False,364,457,1007.4,1,0,18625,244,
2026-03-21,7041110121738,,300,image_hash_suspect,Reference image vs OFF image hash distance 250–400,2,EAN-13,True,7041110121738,True,Dent Trio 24g,,True,Dent Trio 24g,,Joker|SPAR|Coop|Meny|Oda|Bunnpris|Europris|Havaristen,8,https://meny.no/Varer/snacks-godteri/pastiller/dent-trio-7041110121738,False,364,457,1007.4,1,0,18625,244,
2026-03-21,7041110121738,,300,kassal_image_mismatch,Reference image vs Kassal store image hash distance > 400,3,EAN-13,True,7041110121738,True,Dent Trio 24g,,True,Dent Trio 24g,,Joker|SPAR|Coop|Meny|Oda|Bunnpris|Europris|Havaristen,8,https://meny.no/Varer/snacks-godteri/pastiller/dent-trio-7041110121738,False,364,457,1007.4,1,0,18625,244,
2026-03-21,70177084745,SOLBÆR TE 25POS TWININGS,297,name_mismatch_high,Our name vs OFF name similarity < 0.4 — possible wrong product code,3,EAN-11(truncated),True,0070177084745,True,Blackcurrant,0.216,True,Twinings Solbærte 25 poser,0.308,Coop|SPAR|Meny|Oda|Joker,77.9,https://meny.no/Varer/drikke/te/solbaer-te-70177084745,False,338,2,4362.8,72,9,"43,44,537,628,813,872,873,1034,1035,1347,1348,1349,1350,1442,1443,1501,1502,1708,2009,2251","1,5,6,7,9,12,13,14,15,17,18,20,23,25,29,31,33,38,44,47",
2026-03-21,70177084745,SOLBÆR TE 25POS TWININGS,297,kassal_name_mismatch_high,Our name vs Kassal store name similarity < 0.4 — likely wrong label,4,EAN-11(truncated),True,0070177084745,True,Blackcurrant,0.216,True,Twinings Solbærte 25 poser,0.308,Coop|SPAR|Meny|Oda|Joker,77.9,https://meny.no/Varer/drikke/te/solbaer-te-70177084745,False,338,2,4362.8,72,9,"43,44,537,628,813,872,873,1034,1035,1347,1348,1349,1350,1442,1443,1501,1502,1708,2009,2251","1,5,6,7,9,12,13,14,15,17,18,20,23,25,29,31,33,38,44,47",
2026-03-21,70177084745,SOLBÆR TE 25POS TWININGS,297,image_hash_suspect,Reference image vs OFF image hash distance 250–400,2,EAN-11(truncated),True,0070177084745,True,Blackcurrant,0.216,True,Twinings Solbærte 25 poser,0.308,Coop|SPAR|Meny|Oda|Joker,77.9,https://meny.no/Varer/drikke/te/solbaer-te-70177084745,False,338,2,4362.8,72,9,"43,44,537,628,813,872,873,1034,1035,1347,1348,1349,1350,1442,1443,1501,1502,1708,2009,2251","1,5,6,7,9,12,13,14,15,17,18,20,23,25,29,31,33,38,44,47",
2026-03-21,7044416017484,,300,empty_product_name,Product name is empty in dataset — EAN present but name missing,5,EAN-13,True,7044416017484,False,,,False,,,,,,True,,,3833.8,11,4,18625,244,
2026-03-21,7044416017484,,300,not_in_off,GTIN not found in Open Food Facts,1,EAN-13,True,7044416017484,False,,,False,,,,,,True,,,3833.8,11,4,18625,244,
2026-03-21,7044416017484,,300,discontinued,Product not found in any store (Kassal) AND not in OFF — likely discontinued,3,EAN-13,True,7044416017484,False,,,False,,,,,,True,,,3833.8,11,4,18625,244,
2026-03-21,5900020023582,FROKOSTBLANDING LION 350G NESTLE,116,name_mismatch_high,Our name vs OFF name similarity < 0.4 — possible wrong product code,3,EAN-13,True,5900020023582,True,Lion Caramel & Chocolate Taste,0.349,True,Lion Frokostblanding 350g,0.702,Coop|Meny|Havaristen,25,https://meny.no/Varer/palegg-frokost/frokostblandinger-og-musli/frokostblanding/frokostblanding-5900020023582,False,521,439,2476.8,1,0,10924,124,
2026-03-21,5900020023582,FROKOSTBLANDING LION 350G NESTLE,116,image_hash_mismatch,Reference image vs OFF image hash distance > 400,3,EAN-13,True,5900020023582,True,Lion Caramel & Chocolate Taste,0.349,True,Lion Frokostblanding 350g,0.702,Coop|Meny|Havaristen,25,https://meny.no/Varer/palegg-frokost/frokostblandinger-og-musli/frokostblanding/frokostblanding-5900020023582,False,521,439,2476.8,1,0,10924,124,
2026-03-21,5900020023582,FROKOSTBLANDING LION 350G NESTLE,116,kassal_image_mismatch,Reference image vs Kassal store image hash distance > 400,3,EAN-13,True,5900020023582,True,Lion Caramel & Chocolate Taste,0.349,True,Lion Frokostblanding 350g,0.702,Coop|Meny|Havaristen,25,https://meny.no/Varer/palegg-frokost/frokostblandinger-og-musli/frokostblanding/frokostblanding-5900020023582,False,521,439,2476.8,1,0,10924,124,
2026-03-21,7300400481861,KNEKKEBRØD NATURELL GL.FRI 240G WASA,279,name_mismatch_high,Our name vs OFF name similarity < 0.4 — possible wrong product code,3,EAN-13,True,7300400481861,True,GF Wasa Gl. fri Knäckebröd Classic,0.2,True,Knekkebrød Naturell Gl.Fri 240g Wasa,1.0,Joker|SPAR|Meny|Coop|Oda|Engrosnett,55,https://meny.no/Varer/bakeri/knekkebrod/knekkebrod-7300400481861,False,542,537,2633.6,1,0,27420,320,
2026-03-21,7300400481861,KNEKKEBRØD NATURELL GL.FRI 240G WASA,279,image_hash_mismatch,Reference image vs OFF image hash distance > 400,3,EAN-13,True,7300400481861,True,GF Wasa Gl. fri Knäckebröd Classic,0.2,True,Knekkebrød Naturell Gl.Fri 240g Wasa,1.0,Joker|SPAR|Meny|Coop|Oda|Engrosnett,55,https://meny.no/Varer/bakeri/knekkebrod/knekkebrod-7300400481861,False,542,537,2633.6,1,0,27420,320,
